id,name,data,reviewers_rating,review
0,Pranjal Dev,"Reviewed in India on October 15, 2022",5.0,"Very good phone. Camera, battery,body design all very good. I am using this phone from last two years. It looks new still. Thank you Amazon"
0,Aaranyak B.,"Reviewed in India on October 13, 2022",5.0,Wanted to buy the Note 10 Pro for my mom. She liked Note 9's design more and ended up buying this for her. Good phone. She's been using it for about 1.5years now if I'm not wrong.
0,Mohit,"Reviewed in India on October 11, 2022",5.0,"Nice looking, battery backup everything is good in this price range"
0,siddhant bhardwaj,"Reviewed in India on October 10, 2022",5.0,Chinese product promote made in india products only
0,Naved Miyan,"Reviewed in India on October 10, 2022",5.0,I like it
0,RAJESH,"Reviewed in India on October 8, 2022",5.0,"network issue, many time call not come<br>any time phone showing switch off"
0,Vivek jasrotia ,"Reviewed in India on October 7, 2022",5.0,"I m using this mobile since 1 year . Till i hv not seen any problem camera quality remains same , there is no effect on the battery also . but some time it hangs but it is not a problem very rare it hangs overall best phone"
0,AMOL,"Reviewed in India on October 5, 2022",5.0,Valu for money
0,kittamani,"Reviewed in India on October 3, 2022",5.0,Very good product
0,Shadysg,"Reviewed in India on October 3, 2022",5.0,One of the best product at that time
0,Sumit Chaudhary,"Reviewed in India on October 2, 2022",4.0,Value for money
0,Piyush Pandey,"Reviewed in India on September 29, 2022",4.0,"Redmi is famous for its budget smartphones. This phone also is a masterpiece. Using this phone more than a year. On the basis of my usage, here is my experience.<br>Pros:<br>Very good Wide Angle and Primary<br>Battery lasts for a day (In constant usage)<br>MIUI is very smooth and has many features<br>The sensor of fingerprint is quite good.<br>Selfie Camera is very good with nice AI features<br>Amazon fast delivery delivered in 1 day<br>Comes with charger which samsung does not provide<br>The display is LCD but has very vibrant colours<br>Cons:<br>Charger only 20 watt, 30 watt would be better<br>Speakers are loud but expected more from this<br><br>That's my review, I hope you found it useful."
0,Kumaravel A,"Reviewed in India on September 25, 2022",4.0,Product worth for it's money
0,Pushpendra kumar,"Reviewed in India on September 24, 2022",4.0,The bestest mobile phone by xiomi I have seen ... everything is perfect camera display performance battry life charging system...but camera omg the bestest camera 1 no ..
0,CHINTAN THAKKAR,"Reviewed in India on September 23, 2022",4.0,Great price
0,Isahaq ahamed Beig,"Reviewed in India on September 22, 2022",4.0,"Product is value for money u will get good camera decent battery and performance,but I felt heating issues during early days. Battery stays minimum of 8 to 10 hours during it's daily usage."
0,Rajinder Singh,"Reviewed in India on September 21, 2022",4.0,Good
0,Achintya,"Reviewed in India on September 20, 2022",4.0,This is my third redmi phone and probably the last one. The main issue is its compass sensor is not working and you can't use it for Navigation/Google maps. Whenever I open google maps app the screen keeps on rotating. After careful analysis I found out that compass sensor is not working.<br>Also it is very heavy phone(209 grams) and your wrists will pain if you use it for long time.
0,V.RAMA KRISHNA,"Reviewed in India on September 20, 2022",4.0,Very poor quality and battery problem and mother board damaged with in 13 month
0,Sanujose j,"Reviewed in India on September 20, 2022",4.0,Still worth buying in 2022
0,Usmani Aquib,"Reviewed in India on September 19, 2022",5.0,Gud
0,Tushar,"Reviewed in India on September 19, 2022",5.0,Nic eproduct
0,Saif,"Reviewed in India on September 15, 2022",5.0,They give defective mobiles especially if you opt for exchange option
0,Anmol,"Reviewed in India on September 15, 2022",5.0,amazing
0,Sandeep Waghmare,"Reviewed in India on September 14, 2022",5.0,Good
0,Amazon Customer,"Reviewed in India on September 13, 2022",5.0,Good mobil
0,Placeholder,"Reviewed in India on September 11, 2022",5.0,I purchased this phone in June 2021. I had to do service check as first issue I got was during call I couldn't hear what other person said. I had to put my phone on speaker to attend calls. This happened in first 6 months itself .<br><br>Now since few months I get auto-restart problem . the phone goes to non stop boot loop. It is a issue with MIUI. I tried factory reset multiple times and yet the issue occurs again and again .<br><br>I had samsung before this and that as well touch was lost two times in 1 year. I am loosing faith in android phones slowly.
0,Sumit Dhar,"Reviewed in India on September 10, 2022",5.0,"When I put mobile IMIE number and select the same model Redmi note 9 pro, I get invalid IMIE number. Is this product original product??"
0,Ankit Maurya,"Reviewed in India on September 9, 2022",5.0,Awsum
0,Ankit Kaushik,"Reviewed in India on September 4, 2022",5.0,Awesome product
1,Ahmed khan,"Reviewed in India on October 16, 2022",5.0,Value for money
1,Ravi Patel,"Reviewed in India on October 15, 2022",5.0,Best 🔆
1,Ravi,"Reviewed in India on October 14, 2022",5.0,Good
1,Nitin,"Reviewed in India on October 14, 2022",5.0,nice
1,Raufkhan Patel,"Reviewed in India on October 7, 2022",5.0,"Camera quality is a bit low, the rest of the mobile is good"
1,milind gote,"Reviewed in India on October 6, 2022",5.0,Super
1,SANOOB K,"Reviewed in India on October 6, 2022",5.0,good
1,faisi,"Reviewed in India on October 2, 2022",5.0,Good
1,Ranvijay singh,"Reviewed in India on October 1, 2022",5.0,This is the best phone at this prize.
1,Khade sunil,"Reviewed in India on September 30, 2022",5.0,Quality is descent.in this price range
1,deepak gupta,"Reviewed in India on September 30, 2022",5.0,best mobile
1,Manohar Madupoju,"Reviewed in India on September 27, 2022",5.0,Good
1,Prajak,"Reviewed in India on September 26, 2022",5.0,1.My dad is using this phone since last 3 years and it still is in working condition.<br>2.The smartphone has the decent features
1,Abhik Das,"Reviewed in India on September 25, 2022",5.0,Like the overall performance dislike the camera quality
1,Kalpesh chandraknat mhatre,"Reviewed in India on September 24, 2022",5.0,no worth to buy it
1,Manish Kumar,"Reviewed in India on September 23, 2022",5.0,"Phone is worth every penny. Best in the market in this price range. If your budget lies near this price range, you can surely buy this device."
1,Midhun Vincent,"Reviewed in India on September 23, 2022",5.0,Device restart and stopped working while charging.
1,Rohan,"Reviewed in India on September 20, 2022",5.0,Ok
1,Ankan,"Reviewed in India on September 20, 2022",5.0,Take this for normal daily use ... Not for heavy gaming
1,YD,"Reviewed in India on September 19, 2022",5.0,Nice product at reasonable price at Amazon
1,Prakash Sharma,"Reviewed in India on September 18, 2022",5.0,Phone doesn't have life span of 1.5 years. After 1.5 years it's battery has swollen. And screen quality is very little when compared to my another samsung phone of 10k. And I have another device redmi note 7s that too is having yellow spots over the phone.
1,"Tkthp Sharma<span class=""a-icon a-profile-verified-badge""><span class=""a-profile-verified-text""></span></span>","Reviewed in India on September 16, 2022",5.0,"Phone looks very good also very thin and battry backup is also good but this is like average phone , tum esko ekdm perfect nhi bol skte but paise ke hisab se kafi accha hai."
1,Jaya prakash,"Reviewed in India on September 16, 2022",5.0,It's a failed version ...battery issue
1,SUBBURAYAN D,"Reviewed in India on September 16, 2022",5.0,Valve of money
1,Ramkesh Meena SSE Railway,"Reviewed in India on September 13, 2022",5.0,Not working properly
1,Vidya sagar sharma,"Reviewed in India on September 11, 2022",5.0,I think we shld go for 9a now . ita better than 8a  ... in this price range
1,Shubam bhagat,"Reviewed in India on September 10, 2022",5.0,Good
1,B CHANDRAMOULI ,"Reviewed in India on September 9, 2022",5.0,Best Phone
1,lovejeet singh,"Reviewed in India on September 6, 2022",5.0,Good one battery life more strong one
2,Manav Gujjar,"Reviewed in India on October 16, 2022",4.0,"I am using this phone since 7 months it's best in class, camera is very good if you have better lighting conditions and charges quickly, performance wise it's better according to the budget but heats if you play heavy games like bgmi, selfie camera should be better it's average"
2,Vishal,"Reviewed in India on October 16, 2022",4.0,Nice
2,Yograj Sonar,"Reviewed in India on October 16, 2022",4.0,"Don't purchase online. I got a defect phone. In the beginning it was nice. But after one month around, it is showing it's a mobile of repairing one. 🙃🙃. Automatically back and blinking screen."
2,Arvind,"Reviewed in India on October 15, 2022",4.0,It's looks like too many issue on this mobile version.
2,rajendra chauhan,"Reviewed in India on October 15, 2022",4.0,Product delivered on time and phone working fine. Good deal from Amazon.
2,MOHAMMAD ADIL KHAN,"Reviewed in India on October 14, 2022",4.0,Great
2,Debajyoti S.,"Reviewed in India on October 14, 2022",4.0,Camera quality not that good but ok.
2,nandkishor,"Reviewed in India on October 13, 2022",4.0,Bahut accha phone hai muje bahut accha laga😊😊😊😊
2,Shijin,"Reviewed in India on October 13, 2022",4.0,Some one used the phone
2,Piyush Chhatwal,"Reviewed in India on October 13, 2022",4.0,Waist of money and bad quality camera
2,Dileep K.,"Reviewed in India on October 13, 2022",5.0,I like its taste and very smooth for teeth. Its really helpful to clean teeth.
2,Dharmender Bisht,"Reviewed in India on October 13, 2022",5.0,Not bad product this price
2,Durjan,"Reviewed in India on October 11, 2022",5.0,The Android 12 updation is the worst updation it crashes ever apps and freezes
2,Nakul s.,"Reviewed in India on October 11, 2022",5.0,70-80 like
2,Pinku,"Reviewed in India on October 11, 2022",5.0,"Worst product, do not buy this"
